id,parent_id,role,status,branch,worktree,owned_paths,assigned_task,started_at,completed_at,result,notes
AG-011,goal-019f5819,worker,completed,main,agent-fork,"modules/jobs/job-queue-service.ts|modules/jobs/job-queue-validation.ts|tests/helpers/fake-job-queue.ts|tests/integration/job-queue-service.test.ts|tests/integration/job-queue-transitions.test.ts|package.json",Implement Slice 21 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Seventeen focused and eighty-four full tests passed after two review fixes,Future notBefore preserved and oversized test decomposed
AG-012,goal-019f5819,worker,completed,main,agent-fork,"adapters/sqlite/jobs-schema.ts|adapters/sqlite/jobs-enqueue.ts|tests/integration/jobs-schema.test.ts|tests/integration/jobs-sqlite-enqueue.test.ts|package.json",Implement Slice 23 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Nine focused and ninety-three full tests passed independently,Migration coexistence enqueue replay conflict rollback and reopen verified
AG-013,goal-019f5819,worker,completed,main,agent-fork,"adapters/sqlite/jobs-lease.ts|adapters/sqlite/jobs-expired-lease.ts|tests/helpers/jobs-sqlite-fixture.ts|tests/integration/jobs-sqlite-lease.test.ts|tests/integration/jobs-sqlite-recovery.test.ts|package.json",Implement Slice 24 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Ten focused and one-hundred-three full tests passed independently,All expiry recovery eligibility ordering and rollback branches verified
AG-014,goal-019f5819,worker,completed,main,agent-fork,"adapters/sqlite/jobs-transitions.ts|adapters/sqlite/jobs-transition-validation.ts|tests/integration/jobs-sqlite-transitions.test.ts|tests/integration/jobs-sqlite-failure-transitions.test.ts|tests/integration/jobs-sqlite-controls.test.ts|package.json",Implement Slice 25 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Thirteen focused and one-hundred-sixteen full tests passed independently,Accepted after test decomposition and direct active-cancel coverage
AG-015,goal-019f5819,worker,completed,main,agent-fork,"adapters/sqlite/jobs-progress.ts|adapters/sqlite/jobs-progress-validation.ts|adapters/sqlite/job-queue-store.ts|tests/integration/jobs-sqlite-progress.test.ts|tests/integration/job-queue-sqlite-store.test.ts|package.json",Implement Slice 26 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Ten focused and one-hundred-twenty-six full tests passed independently,Progress recovery facade delegation invariant rollback and reopen behavior verified
AG-016,goal-019f5819,worker,completed,main,agent-fork,"modules/jobs/job-worker-service.ts|modules/jobs/job-worker-validation.ts|tests/helpers/fake-job-worker.ts|tests/integration/job-worker-service.test.ts|tests/integration/job-worker-failures.test.ts|package.json",Implement Slice 29 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Thirteen focused and one-hundred-thirty-nine full tests passed independently,Registry snapshot routing and every interruption operation verified
AG-017,goal-019f5819,worker,completed,main,agent-fork,"tests/helpers/fake-durable-job-handler.ts|tests/helpers/job-worker-resume-fixture.ts|tests/integration/job-worker-resume.test.ts|package.json",Implement Slice 30 with gpt-5.6-luna at max,2026-07-13,2026-07-13,One focused and one-hundred-forty full tests passed independently,Accepted after decomposing the restart fixture from the narrative scenario
AG-018,goal-019f5819,worker,completed,main,agent-fork,"tests/helpers/health-loopback-fixture.ts|tests/spikes/health-transport-fixtures.test.ts|docs/decisions/0008-health-transport-fixtures.md|package.json",Implement Slice 31 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Six focused and one-hundred-forty-six full tests passed independently,Loopback transport facts and cleanup verified with local listener permission
AG-019,goal-019f5819,worker,completed,main,agent-fork,"modules/health/health-fact-classification.ts|modules/health/health-fact-validation.ts|tests/unit/health-fact-classification.test.ts|tests/unit/health-redirect-resolution.test.ts|package.json",Implement Slice 34 with gpt-5.6-luna at max,2026-07-13,2026-07-13,Eleven focused and one-hundred-fifty-eight full tests passed independently,Strict classification redirect resolution and semantic non-interference verified
AG-020,goal-019f5819,worker,interrupted,main,agent-fork,"modules/health/health-check-execution.ts|modules/health/health-check-execution-validation.ts|tests/helpers/fake-health-check-execution.ts|tests/integration/health-check-execution.test.ts|tests/integration/health-check-execution-failures.test.ts|package.json",Implement Slice 37 with gpt-5.6-luna at max,2026-07-13,2026-07-13,No completion report or uploaded patch,First lane disappeared and replacement lane was stopped after the user raised token-consumption concerns
