id,work_item_id,status,layer,red_artifact,red_command,red_result,green_command,green_result,commit,notes
TDD-041,W-081,complete,controlled-https-success,"Missing controlled certificate and child trust fixtures","node --test tests/integration/health-https-success.test.ts",expected-fail,"node --test focused Node transport tests | npm run typecheck | npm test",pass,,Unchanged production transport validated the fixture CA and preserved exact Host SNI response and one-request behavior
TDD-042,W-082,complete,jobs-public-composition,"Missing public Jobs dependency type and runtime factories","node --test tests/contract/jobs.contract.test.ts | npm run typecheck",expected-fail,"node --test focused Jobs contract queue and worker tests | npm run typecheck",pass,,Existing queue and worker factories were promoted through an exact two-export public surface with no service behavior change
TDD-043,W-083,complete,local-health-worker-session,"Missing Local Health worker session module and composition contract","npm run typecheck | node --test tests/integration/local-health-worker-session.test.ts",expected-fail,"node --test focused composition and boundary tests | npm run typecheck | npm test",pass,,Real public seams produced one private Health handler and an idle one-step worker on an empty SQLite queue
TDD-044,W-085,complete,jobs-enqueue-composition,"Missing enqueue-only Jobs types and runtime factory","node --test tests/contract/jobs.contract.test.ts tests/integration/job-queue-service.test.ts | npm run typecheck",expected-fail,"node --test focused Jobs contract queue and worker tests | npm run typecheck | npm test",pass,,One shared enqueue implementation now serves the narrow enqueuer and full queue without lease-only dependencies
TDD-045,W-086,complete,processing-start-contract,"Missing Processing durable-start request result failure dependency and port types",npm run typecheck,expected-fail,"npm run typecheck | node --test tests/integration/processing-planner.test.ts",pass,,The type-only contract grants snapshot reads and enqueue while the one-factory runtime remains unchanged
TDD-046,W-087,complete,processing-start-runtime,"Missing Processing starter runtime factory and implementation","node --test tests/integration/processing-planner.test.ts | npm run typecheck",expected-fail,"node --test tests/integration/processing-planner.test.ts | npm run typecheck",pass,,Shared traversal authored deterministic ordered jobs and mapped every closed Jobs failure without diagnostics
TDD-047,W-089,complete,local-enqueue-command,"Missing direct Local enqueue command module","node --test tests/integration/local-enqueue-command.test.ts | npm run typecheck",expected-fail,"node --test tests/integration/local-enqueue-command.test.ts | npm run typecheck | npm test",pass,,Public composition returned exact durable replay and fixed typed failures while closing every opened application database session
TDD-048,W-090,complete,local-cli-enqueue-routing,"Missing package enqueue script and entrypoint route",node --test tests/integration/local-cli-enqueue.test.ts,expected-fail,"node --test enqueue and existing CLI suites | npm run typecheck | npm test",pass,,The package route delegated to E5 and produced exact durable replay without changing existing commands
TDD-049,W-092,complete,node-transport-deadline,"Resolution waited beyond timeout and socket timeout reset after resolution",node --test tests/integration/health-node-transport.test.ts,expected-fail,"node --test focused Node transport resolver HTTPS and runtime tests | npm run typecheck | npm test",pass,,One deadline now covers resolution and socket exchange while late resolution remains inert
TDD-050,W-093,complete,local-run-one-contract,"Missing Local CLI run-one contract module and all four declared symbols",npm run typecheck,expected-fail,"npm run typecheck | runtime export scan",pass,,Exact closed result and command types compile while the erased module exposes no runtime values
TDD-051,W-094,complete,local-run-one-command,"Type-only run-one module exposed no callable command",node --test tests/integration/local-run-one-command.test.ts,expected-fail,"node --test direct run-one and Health session tests | npm run typecheck | npm test",pass,,Fixed profile direct command validates delegates once redacts closed outcomes and closes the real SQLite session
TDD-052,W-095,complete,local-run-one-sqlite,"Focused integration proof artifact did not exist",node --test tests/integration/local-run-one-sqlite.test.ts,expected-fail,"node --test tests/integration/local-run-one-sqlite.test.ts | node --test related direct composition tests | npm run typecheck",pass,,Production import inspect enqueue worker and reopened progress seams proved one succeeded job with zero loopback requests and idle replay
TDD-053,W-096,complete,local-cli-run-one-routing,"Package worker script and entrypoint route were absent",node --test tests/integration/local-cli-run-one.test.ts,expected-fail,"node --test tests/integration/local-cli-run-one.test.ts | node --test existing CLI suites | npm run typecheck | npm test",pass,,Documented package routing completed one queued job replayed idle preserved streams and existing routes and enrolled all new tests
TDD-054,W-098,complete,node-transport-absolute-deadline,"Slow-drip response completed successfully after the total timeout budget",node --test tests/integration/health-node-transport.test.ts,expected-fail,"node --test tests/integration/health-node-transport.test.ts | npm run typecheck | npm test",pass,,One absolute timer now expires active streaming responses and destroys request and response resources
TDD-055,W-099,complete,node-ipv6-request-target-policy,"Special-purpose translation discard tunneling and non-global IPv6 targets were approved",node --test tests/unit/health-request-target-resolver.test.ts,expected-fail,"node --test tests/unit/health-request-target-resolver.test.ts | npm run typecheck | npm test",pass,,Dated numeric prefix rules reject non-global targets decode RFC 6052 IPv4 destinations and preserve global exceptions
TDD-056,W-100,complete,sqlite-private-file-mode,"Both public SQLite openers created new bookmark databases with mode 0644",node --test tests/integration/catalog-database.test.ts tests/integration/bookmark-clean-database.test.ts,expected-fail,"node --test tests/integration/catalog-database.test.ts tests/integration/bookmark-clean-database.test.ts | npm run typecheck | npm test",pass,,One descriptor-based helper creates and tightens regular database files to 0600 while preserving contents and in-memory operation
TDD-057,W-102,complete,non-jobs-production-types,"Five strict errors remained across four Node Health and SQLite production files",npx tsc --noEmit --target ES2024 --module NodeNext --moduleResolution NodeNext --strict --forceConsistentCasingInFileNames adapters/node/health-transport.ts adapters/sqlite/catalog-database.ts adapters/sqlite/bookmark-clean-database.ts adapters/sqlite/health-observation-store.ts,expected-fail,"focused target compiler | all-source compiler | focused runtime tests | npm run typecheck | npm test",pass,,Exact predicates stable database handles and explicit non-null repository successes removed all five errors without behavior changes
TDD-058,W-103,complete,jobs-production-types,"The strict all-source compiler reported 25 errors in six Jobs domain and SQLite files",npx tsc --noEmit --target ES2024 --module NodeNext --moduleResolution NodeNext --strict --forceConsistentCasingInFileNames apps/**/*.ts core/**/*.ts modules/**/*.ts adapters/**/*.ts,expected-fail,"all-source compiler | complete Jobs-focused tests | npm run typecheck | npm test",pass,,Public shared-ID imports object-compatible ownership checks and exact numeric predicates removed every remaining production error without state-machine changes
TDD-059,W-104,complete,repository-verification-gates,"The repository had no discovery runner or architecture contract and the declared typecheck omitted production roots",node --test tests/contract/module-boundaries.contract.test.ts,expected-fail,"node --test tests/contract/module-boundaries.contract.test.ts | npm run typecheck | node scripts/run-tests.mjs --list | npm run check",pass,,A TypeScript-AST boundary contract deterministic recursive test discovery and complete strict source roots now form one aggregate gate
TDD-060,W-106,complete,node-dns-tls-classification,"ENOTFOUND returned unsupported_url an untrusted certificate returned unknown_transport and the structured-code classifier did not exist",node --test tests/unit/health-request-target-resolver.test.ts tests/unit/health-node-error-classifier.test.ts and controlled HTTPS test,expected-fail,"focused resolver classifier transport and controlled HTTPS tests | npm run check",pass,,An explicit Node-owned DNS and X509 code policy restores existing Health facts while unknown codes and prose remain non-semantic
TDD-061,W-107,complete,health-repository-validation,"A matching-looking four-field repository observation authorized success on load and save",node --test tests/integration/health-checker-validation.test.ts,expected-fail,"Health validation checker replay and SQLite suites | npm run typecheck | npm run check",pass,,A cohesive Health-owned exact validator now checks every repository success while valid optional families and URL conflicts retain their contracts
TDD-062,W-108,complete,catalog-inspection-contract,"The exact Catalog inspection query types and factory declaration were absent",npm run typecheck,expected-fail,"npm run typecheck | node --test tests/contract/catalog-snapshot.contract.test.ts | npm run check",pass,,The additive type-only contract matches the module map while public runtime exports remain unchanged until Slice 10
TDD-063,W-110,complete,catalog-inspector-cli,"The Catalog runtime factory was absent and CLI still traversed raw snapshots to calculate descendant counts",node --test tests/contract/catalog-snapshot.contract.test.ts tests/integration/catalog-inspector.test.ts,expected-fail,"Catalog inspector contract service direct CLI downstream workflow tests | npm run typecheck | npm run check",pass,,Catalog now owns the private projection traversal while CLI only formats its typed folder projection with byte-compatible output
TDD-064,W-112,complete,node-ipv6-global-eligibility,"Reserved deprecated-local phased-out and false prefix-edge IPv6 controls were approved",node --test tests/unit/health-request-target-resolver.test.ts,expected-fail,"node --test tests/unit/health-request-target-resolver.test.ts | npm run typecheck",pass,,A positive global-unicast eligibility gate plus explicit RFC 6052 and mapped-public handling now rejects the adversarial vectors without changing the public failure contract
TDD-065,W-113,complete,health-save-url-identity,"A structurally valid save result for another requested URL authorized success",node --test tests/integration/health-checker-validation.test.ts,expected-fail,"node --test four Health validation replay and SQLite integration files | npm run check",pass,,Health now validates the complete saved shape before applying the same exact requested-URL conflict rule used on load
TDD-066,W-115,complete,module-boundary-import-equals,"TypeScript import-equals syntax produced no detected module specifier",node --test tests/contract/module-boundaries.contract.test.ts,expected-fail,"node --test tests/contract/module-boundaries.contract.test.ts | npm run typecheck | npm run check",pass,,ImportEqualsDeclaration external module references now enter the existing public-module boundary rule with public-surface controls
TDD-067,W-116,complete,bounded-tree-public-contracts,"Catalog and Chrome HTML resource constants and typed failures were absent",npm run typecheck and focused public runtime contract tests,expected-fail,"npm run typecheck | node --test Catalog and Chrome HTML contract tests | npm run check",pass,,Exact node depth and byte constants plus closed failure unions now form the public contract without enforcement changes
TDD-068,W-118,complete,iterative-catalog-limits,"Catalog accepted 20001 nodes and depth 257 then allocated IDs and reached storage",node --test tests/contract/catalog-snapshot.contract.test.ts tests/integration/catalog-service.test.ts,expected-fail,"npm run typecheck | focused Catalog contract service and 10000-node performance tests | npm run check",pass,,Catalog now enforces inclusive public limits with iterative validation and construction while preserving first failure order dependency isolation and output order
TDD-069,W-119,complete,bounded-chrome-html,"Chrome HTML accepted limit-plus-one node and byte inputs and the CLI opened storage after fully reading an oversized file",node --test tests/integration/chrome-html-import.test.ts tests/integration/local-cli-import.test.ts,expected-fail,"npm run typecheck | focused Chrome HTML CLI contract and 10000-node tests | npm run check",pass,,The CLI reads at most limit plus one byte and the adapter measures UTF8 before parse5 then translates DOM and semantic trees iteratively
TDD-070,W-120,complete,bounded-sqlite-persistence,"SQLite reconstruction accepted depth 257 and node count 20001 stored graphs while save and assembly remained recursive",node --test tests/integration/catalog-sqlite.test.ts,expected-fail,"npm run typecheck | focused Catalog SQLite database and 10000-node performance tests | npm run check",pass,,SQLite now inserts and reconstructs iteratively and maps public limit violations to stored_snapshot_invalid without changing transactions or rows
TDD-071,W-122,complete,stack-safe-inspection,"A 4000-folder Catalog result raised RangeError in inspection and a 20001-node result was accepted",node --test tests/integration/catalog-inspector.test.ts tests/integration/local-cli-inspect.test.ts,expected-fail,"npm run typecheck | focused Catalog inspector CLI and downstream preview tests | npm run check",pass,,Catalog projection validates bounds and calculates descendant counts iteratively while CLI formatting preserves exact private output
TDD-072,W-123,complete,bounded-processing,"Processing accepted depth 257 and node count 20001 Catalog results and reached Jobs",node --test tests/integration/processing-planner.test.ts,expected-fail,"npm run typecheck | focused Processing planner enqueue and CLI workflow tests | npm run check",pass,,Processing validates the complete snapshot and resolves first folder plus descendant bookmark IDs in one iterative depth-first pass
TDD-073,W-125,complete,health-fact-coherence,"Health accepted contradictory status error retry redirect and final URL facts",node --test tests/integration/health-checker-validation.test.ts,expected-fail,"node --test focused and broad Health suites | npm run typecheck | npm run check",pass,,Health now validates one coherent checker result on both repository success boundaries
TDD-074,W-126,complete,chrome-html-encoding-contract,"The Chrome HTML failure union could not represent malformed source bytes",npm run typecheck,expected-fail,"npm run typecheck | node --test tests/contract/chrome-html.contract.test.ts",pass,,The additive invalid_encoding source failure migrated before runtime decoding behavior
TDD-075,W-127,complete,local-cli-fatal-utf8,"Malformed UTF8 imported successfully after Buffer decoding synthesized a replacement character",node --test tests/integration/local-cli-import.test.ts,expected-fail,"node --test tests/integration/local-cli-import.test.ts | npm run check",pass,,The CLI uses a fatal UTF8 decoder and returns the typed source failure before database open
TDD-076,W-128,complete,node-ipv4-registry,"The resolver allowed 192.88.99.2 and rejected global exceptions 192.0.0.9 and 192.0.0.10",node --test tests/unit/health-request-target-resolver.test.ts,expected-fail,"node --test tests/unit/health-request-target-resolver.test.ts | broad Health suites | npm run check",pass,,One prefix policy now covers direct mapped and RFC6052 embedded IPv4 addresses
